WELL_KEY,Parent,API_FM,FIELD_NAME,Field,WELL_NAME,Well,Pad
50.0666.0017.99,50.0666.0017,5013310042,Beaver Creek - Sterling - 50.0666,Beaver Creek - Sterling,BCU 001 (Beluga PA Pre-HAK),BCU 001,1A
50.0666.0001.99,50.0666.0001,5013320006,Beaver Creek - Sterling - 50.0666,Beaver Creek - Sterling,BCU 001A (Sterling PA Pre-HAK),BCU 001A ,1A
50.0666.0001.01,50.0666.0001,5013320006,Beaver Creek - Sterling - 50.0666,Beaver Creek - Sterling,BCU 001A Beluga PA,BCU 001A ,1A
50.0666.0001.02,50.0666.0001,5013320006,Beaver Creek - Sterling - 50.0666,Beaver Creek - Sterling,BCU 001B Beluga PA,BCU 001B ,1A
50.0666.0002.99,50.0666.0002,5013320021,Beaver Creek - Sterling - 50.0666,Beaver Creek - Sterling,BCU 002 (Sterling PA Pre-HAK),BCU 002 ,1A
50.0666.0002.01,50.0666.0002,5013320021,Beaver Creek - Sterling - 50.0666,Beaver Creek - Sterling,BCU 002 WDW,BCU 002 WDW,1A
50.0666.0003.99,50.0666.0003,5013320124,Beaver Creek - Sterling - 50.0666,Beaver Creek - Sterling,BCU 003 (Sterling PA Pre-HAK),BCU 003 ,3
50.0666.0003.01,50.0666.0003,5013320124,Beaver Creek - Sterling - 50.0666,Beaver Creek - Sterling,BCU 003RD Beluga PA,BCU 003RD ,3
50.0666.0003.02,50.0666.0003,5013320124,Beaver Creek - Sterling - 50.0666,Beaver Creek - Sterling,BCU 003RD WDW,BCU 003RD ,3
50.0666.0004.00,50.0666.0004,5013320239,Beaver Creek - Sterling - 50.0666,Beaver Creek - Sterling,BCU 004 Hemlock PA,BCU 004 ,4
50.0666.0004.01,50.0666.0004,5013320239,Beaver Creek - Sterling - 50.0666,Beaver Creek - Sterling,BCU 004RD Tyonek PA,BCU 004RD ,4
50.0666.0005.99,50.0666.0005,5013320262,Beaver Creek - Sterling - 50.0666,Beaver Creek - Sterling,BCU 005 (Pre-HAK),BCU 005 ,3
50.0666.0005.01,50.0666.0005,5013320262,Beaver Creek - Sterling - 50.0666,Beaver Creek - Sterling,BCU 005RD Hemlock PA,BCU 005RD,3
50.0666.0005.02,50.0666.0005,5013320262,Beaver Creek - Sterling - 50.0666,Beaver Creek - Sterling,BCU 005RD2 Tyonek PA,BCU 005RD2,3
50.0666.0006.98,50.0666.0006,5013320346,Beaver Creek - Sterling - 50.0666,Beaver Creek - Sterling,BCU 006 (Beaver Creek Oil Pre-HAK),BCU 006,3
50.0666.0006.99,50.0666.0006,5013320346,Beaver Creek - Sterling - 50.0666,Beaver Creek - Sterling,BCU 006 (Sterling PA Pre-HAK),BCU 006,3
50.0666.0006.02,50.0666.0006,5013320346,Beaver Creek - Sterling - 50.0666,Beaver Creek - Sterling,BCU 006L Beluga PA,BCU 006L ,3
50.0666.0006.03,50.0666.0006,5013320346,Beaver Creek - Sterling - 50.0666,Beaver Creek - Sterling,BCU 006S Beluga PA,BCU 006S,3
50.0666.0007.00,50.0666.0007,5013320284,Beaver Creek - Sterling - 50.0666,Beaver Creek - Sterling,BCU 007 Sterling PA,BCU 007 ,7
50.0666.0007.01,50.0666.0007,5013320284,Beaver Creek - Sterling - 50.0666,Beaver Creek - Sterling,BCU 007A Beluga PA,BCU 007A ,7
50.0666.0007.02,50.0666.0007,5013320284,Beaver Creek - Sterling - 50.0666,Beaver Creek - Sterling,BCU 007A Sterling PA,BCU 007A,7
50.0666.0018.99,50.0666.0018,5013320303,Beaver Creek - Sterling - 50.0666,Beaver Creek - Sterling,BCU 008 (Pre-HAK),BCU 008 ,
50.0666.0008.02,50.0666.0008,5013320445,Beaver Creek - Sterling - 50.0666,Beaver Creek - Sterling,BCU 009 Sterling PA,BCU 009 ,3
50.0666.0008.03,50.0666.0008,5013320445,Beaver Creek - Sterling - 50.0666,Beaver Creek - Sterling,BCU 009 Sterling PA,BCU 009 ,3
50.0666.0008.01,50.0666.0008,5013320445,Beaver Creek - Sterling - 50.0666,Beaver Creek - Sterling,BCU 009L Beluga PA,BCU 009L ,3
50.0666.0008.00,50.0666.0008,5013320445,Beaver Creek - Sterling - 50.0666,Beaver Creek - Sterling,BCU 009S Sterling PA,BCU 009S ,3
50.0666.0009.00,50.0666.0009,5013320482,Beaver Creek - Sterling - 50.0666,Beaver Creek - Sterling,BCU 010 Beluga PA,BCU 010 ,3
50.0666.0009.01,50.0666.0009,5013320482,Beaver Creek - Sterling - 50.0666,Beaver Creek - Sterling,BCU 010 Sterling PA,BCU 010 ,3
50.0666.0010.00,50.0666.0010,5013320521,Beaver Creek - Sterling - 50.0666,Beaver Creek - Sterling,BCU 011 Beluga PA,BCU 011 ,3
50.0666.0010.01,50.0666.0010,5013320521,Beaver Creek - Sterling - 50.0666,Beaver Creek - Sterling,BCU 011 Sterling PA,BCU 011 ,3
