WELL_KEY,BASIN,BASIN_CODE,POOL_NAME,FORMATION_NAME,WELL_ALIAS,BATTERY,COUNTRY,WELLHEAD_LATITUDE,WELLHEAD_LONGITUDE,SANDFACE_LATITUDE,SANDFACE_LONGITUDE,SANDFACE_DLS,SANDFACE_NTS,FIELD_CODE,POOL_CODE,FORMATION_CODE,NAD,KB_ELEVATION,GROUND_ELEVATION,CASING_FLANGE_ELEVATION,WELL_STATUS,ENTITY_NO,PRIMARY_FLUID,CURRENT_STATUS,STATUS_DATE,UNIT,UNIT_CODE,NUM_OF_FRACS,BATTERY_CODE,BOTTOM_PERFORATION_MD,BOTTOM_PERFORATION_TVD,DISTRICT,ENTITY_LOCATION,GAS_GATHERER,LATERAL_CODE,LATERAL_NAME,LICENSE_DATE,METER_NUMBER,OIL_CONDENSATE_GATHERER,ONSHORE_OFFSHORE,ORIGINAL_OPERATOR,ORIGINAL_OPERATOR_CODE,PLANT_CODE,PLANT_NAME,PLANT_TYPE,PLANT_TYPE_DESCRIPTION,PLUGBACK_DEPTH_MD,PLUGBACK_DEPTH_TVD,RIG_RELEASE_DATE,SPUD_DATE,TOP_PERFORATION_MD,TOP_PERFORATION_TVD,TOTAL_DEPTH_MD,TOTAL_DEPTH_TVD,WELL_TYPE,USER_SPECIFIED_CUSTOM_ATTR_1,USER_SPECIFIED_CUSTOM_ATTR_2,USER_SPECIFIED_CUSTOM_ATTR_N
50.0585.0077.00,Cook Inlet,1,None,None,0,Anna,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0585.0062.01,Cook Inlet,1,None,None,0,Bruce,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0009.99,Cook Inlet,1,None,None,A 001,Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0009.98,Cook Inlet,1,None,None,A 001,Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0009.97,Cook Inlet,1,None,None,A 001,Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0009.96,Cook Inlet,1,None,None,A 001,Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0009.06,Cook Inlet,1,None,None,A 001RD,Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0009.07,Cook Inlet,1,None,None,A 001RD,Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0009.03,Cook Inlet,1,None,None,A 001RD,Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0009.04,Cook Inlet,1,None,None,A 001RD,Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0009.05,Cook Inlet,1,None,None,A 001RD,Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0010.03,Cook Inlet,1,None,None,A 002,Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0010.04,Cook Inlet,1,None,None,A 002,Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0010.02,Cook Inlet,1,None,None,A 002,Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0010.05,Cook Inlet,1,None,None,A 002,Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0010.99,Cook Inlet,1,None,None,A 002,Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0010.01,Cook Inlet,1,None,None,A 002,Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0010.06,Cook Inlet,1,None,None,A 002,Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0010.98,Cook Inlet,1,None,None,A 002,Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0006.97,Cook Inlet,1,None,None,A 003,Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0006.99,Cook Inlet,1,None,None,A 003RD,Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0006.98,Cook Inlet,1,None,None,A 003RD,Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0006.96,Cook Inlet,1,None,None,A 003RD2,Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0006.04,Cook Inlet,1,None,None,A 003RD3,Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0006.05,Cook Inlet,1,None,None,A 003RD3,Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0035.02,Cook Inlet,1,None,None,A 004,Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0035.00,Cook Inlet,1,None,None,A 004,Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0035.01,Cook Inlet,1,None,None,A 004,Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0019.98,Cook Inlet,1,None,None,A 005,Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0019.99,Cook Inlet,1,None,None,A 005,Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0019.04,Cook Inlet,1,None,None,A 005RD2,Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0019.05,Cook Inlet,1,None,None,A 005RD2,Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0019.06,Cook Inlet,1,None,None,A 005RD2,Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0019.02,Cook Inlet,1,None,None,A 005RD2,Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0019.03,Cook Inlet,1,None,None,A 005RD2,Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0014.00,Cook Inlet,1,None,None,A 006 ADL 18731 (H),Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0001.03,Cook Inlet,1,None,None,A 007 ADL 18731 (B),Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
