"WELL_KEY","WELL_NAME","WELLHEAD_LATITUDE","WELLHEAD_LONGITUDE","SANDFACE_LATITUDE","SANDFACE_LONGITUDE","SANDFACE_DLS","SANDFACE_NTS","API_FM","COUNTRY","PROVINCE_STATE","FIELD_NAME","FIELD_CODE","POOL_NAME","POOL_CODE","FORMATION_NAME","FORMATION_CODE","COUNTY_PARRISH","AREA_NAME","NAD","KB_ELEVATION","GROUND_ELEVATION","CASING_FLANGE_ELEVATION","WELL_STATUS","ENTITY_NO","PRIMARY_FLUID","CURRENT_STATUS","STATUS_DATE","UNIT","UNIT_CODE","NUM_OF_FRACS","WELL_ALIAS","BASIN","BASIN_CODE","BATTERY","BATTERY_CODE","BOTTOM_PERFORATION_MD","BOTTOM_PERFORATION_TVD","DISTRICT","ENTITY_LOCATION","GAS_GATHERER","LATERAL_CODE","LATERAL_NAME","LICENSE_DATE","METER_NUMBER","OIL_CONDENSATE_GATHERER","ONSHORE_OFFSHORE","ORIGINAL_OPERATOR","ORIGINAL_OPERATOR_CODE","PLANT_CODE","PLANT_NAME","PLANT_TYPE","PLANT_TYPE_DESCRIPTION","PLUGBACK_DEPTH_MD","PLUGBACK_DEPTH_TVD","RIG_RELEASE_DATE","SPUD_DATE","TOP_PERFORATION_MD","TOP_PERFORATION_TVD","TOTAL_DEPTH_MD","TOTAL_DEPTH_TVD","WELL_TYPE","USER_SPECIFIED_CUSTOM_ATTR_1","USER_SPECIFIED_CUSTOM_ATTR_2","USER_SPECIFIED_CUSTOM_ATTR_N"
"50.0583.0001","BRU 232-04 (Beluga Sterling PA)",61.1614000501722,-151.055220050265,61.164444615027,-151.060161763754,NA,NA,"502831002300","USA","AK","Beluga River - 50.0583",NA,"000UNKWN",NA,"None",NA,"Tyonek Quad","Kenai - KEN",NA,104,NA,NA,"GAS",NA,"GAS",NA,NA,NA,NA,NA,"BRU 232-04","Cook Inlet",1,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CONOCOPHILLIPS ALASKA INC",NA,NA,NA,NA,NA,NA,NA,NA,"1963-01-04",NA,NA,5300,NA,NA,NA,NA,NA
"50.0583.0002","BRU 212-25 (Beluga Sterling PA)",61.1902099416355,-150.998290431358,61.1902802929013,-150.998290593236,NA,NA,"502831002500","USA","AK","Beluga River - 50.0583",NA,"000UNKWN",NA,"None",NA,"Tyonek Quad","Kenai - KEN",NA,42,NA,NA,"GAS",NA,"GAS",NA,NA,NA,NA,NA,"BRU 212-25","Cook Inlet",1,"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CONOCOPHILLIPS ALASKA INC",NA,NA,NA,NA,NA,NA,NA,NA,"1962-11-13",NA,NA,5800,NA,NA,NA,NA,NA
"50.0583.0003","BRU 233-27 (Beluga Sterling PA)",61.1862500495002,-151.04305005022,61.1862395535126,-151.042976618776,NA,NA,"502831002600","USA","AK","Beluga River - 50.0583",NA,"000UNKWN",NA,"None",NA,"Tyonek Quad","Kenai - KEN",NA,104,NA,NA,"GAS",NA,"GAS",NA,NA,NA,NA,NA,"BRU 233-27","Cook Inlet",1,"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CONOCOPHILLIPS ALASKA INC",NA,NA,NA,NA,NA,NA,NA,NA,"1963-02-23",NA,NA,5680,NA,NA,NA,NA,NA
"50.0583.0004","BRU 212-35 (Beluga Sterling PA)",61.1770300496971,-151.028110050139,61.1768627029514,-151.027900275178,NA,NA,"502831002700","USA","AK","Beluga River - 50.0583",NA,"000UNKWN",NA,"None",NA,"Tyonek Quad","Kenai - KEN",NA,97,NA,NA,"GAS",NA,"GAS",NA,NA,NA,NA,NA,"BRU 212-35","Cook Inlet",1,"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CONOCOPHILLIPS ALASKA INC",NA,NA,NA,NA,NA,NA,NA,NA,"1962-04-19",NA,NA,16428,NA,NA,NA,NA,NA
"50.0583.0005","BRU 244-04S (Beluga Sterling PA)",61.1572110503498,-151.056299985856,61.1534286690979,-151.037745048395,NA,NA,"502832000200","USA","AK","Beluga River - 50.0583",NA,"651CCKL",NA,"None",NA,"Tyonek Quad","Kenai - KEN",NA,108,NA,NA,"SIGAS",NA,"SIGAS",NA,NA,NA,NA,NA,"BRU 244-04S","Cook Inlet",1,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CONOCOPHILLIPS ALASKA INC",NA,NA,NA,NA,NA,NA,NA,NA,"1967-02-11",NA,NA,15191,NA,NA,NA,NA,NA
"50.0583.0006","BRU 212-24S (Beluga Sterling PA)",61.2047000495677,-151.001430050057,61.2047604435397,-151.001446934828,NA,NA,"502832003700","USA","AK","Beluga River - 50.0583",NA,"654BLUG",NA,"None",NA,"Tyonek Quad","Kenai - KEN",NA,98,NA,NA,"SIGAS",NA,"SIGAS",NA,NA,NA,NA,NA,"BRU 212-24S","Cook Inlet",1,"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CONOCOPHILLIPS ALASKA INC",NA,NA,NA,NA,NA,NA,NA,NA,"1973-08-19",NA,NA,6380,NA,NA,NA,NA,NA
"50.0583.0007","BRU 241-34S (Beluga Sterling PA)",61.1788200495058,-151.039530049772,61.1790887813223,-151.039530525513,NA,NA,"502832003800","USA","AK","Beluga River - 50.0583",NA,"654BLUG",NA,"None",NA,"Tyonek Quad","Kenai - KEN",NA,110,NA,NA,"SIGAS",NA,"SIGAS",NA,NA,NA,NA,NA,"BRU 241-34S","Cook Inlet",1,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CONOCOPHILLIPS ALASKA INC",NA,NA,NA,NA,NA,NA,NA,NA,"1972-06-17",NA,NA,6501,NA,NA,NA,NA,NA
"50.0583.0008","BRU 224-13S (Beluga Sterling PA)",61.2129300495822,-150.989280050034,61.2129300999442,-150.989280100396,NA,NA,"502832004200","USA","AK","Beluga River - 50.0583",NA,"654SRLG",NA,"None",NA,"Tyonek Quad","Kenai - KEN",NA,93,NA,NA,"SUS",NA,"SUS",NA,NA,NA,NA,NA,"BRU 224-13S","Cook Inlet",1,"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CONOCOPHILLIPS ALASKA INC",NA,NA,NA,NA,NA,NA,NA,NA,"1974-09-27",NA,NA,10000,NA,NA,NA,NA,NA
"50.0583.0009","BRU 212-18 (Beluga Sterling PA)",61.2196847297665,-150.971217697339,61.2196847801285,-150.97121632947,NA,NA,"502832004900","USA","AK","Beluga River - 50.0583",NA,"654BLUG",NA,"None",NA,"Tyonek Quad","Kenai - KEN",NA,92,NA,NA,"SIGAS",NA,"SIGAS",NA,NA,NA,NA,NA,"BRU 212-18","Cook Inlet",1,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CONOCOPHILLIPS ALASKA INC",NA,NA,NA,NA,NA,NA,NA,NA,"1975-09-01",NA,NA,7000,NA,NA,NA,NA,NA
"50.0583.0010","BRU 221-23 (Beluga Sterling PA)",61.2094800496646,-151.021350050464,61.2094809732683,-151.021356792682,NA,NA,"502832005400","USA","AK","Beluga River - 50.0583",NA,"654BLUG",NA,"None",NA,"Tyonek Quad","Kenai - KEN",NA,110,NA,NA,"SIGAS",NA,"SIGAS",NA,NA,NA,NA,NA,"BRU 221-23","Cook Inlet",1,"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CONOCOPHILLIPS ALASKA INC",NA,NA,NA,NA,NA,NA,NA,NA,"1976-11-13",NA,NA,6500,NA,NA,NA,NA,NA
"50.0583.0011","BRU 214-35 (Beluga Sterling PA)",61.1700600502312,-151.036660049622,61.1666725774775,-151.025024776572,NA,NA,"502832006700","USA","AK","Beluga River - 50.0583",NA,"000UNKWN",NA,"None",NA,"Tyonek Quad","Kenai - KEN",NA,96,NA,NA,"SIGAS",NA,"SIGAS",NA,NA,NA,NA,NA,"BRU 214-35","Cook Inlet",1,"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CONOCOPHILLIPS ALASKA INC",NA,NA,NA,NA,NA,NA,NA,NA,"1980-12-24",NA,NA,6819,NA,NA,NA,NA,NA
